id,date,date_source,title,url,pdf,match_conf,words
JpGi2c7a1gw,2025-01-31,yt_title,"Mohnish Pabrai's session with CIBS at University of Cambridge on January 31, 2025",https://www.youtube.com/watch?v=JpGi2c7a1gw,20250214_mohnish_pabrais_session_with_cibs_at_university_of_cambridge_on_january_31_2025.pdf,date+kw,6536
HSq4QOCuuDA,2025-02-15,yt_title,"Mohnish Pabrai’s Interview at The Money Mindset with Sonia Shenoy on February 15, 2025",https://www.youtube.com/watch?v=HSq4QOCuuDA,20250421_mohnish_pabrais_interview_at_the_money_mindset_on_february_15_2025.pdf,date+kw,11397
Eww63NIxKew,2025-02-25,yt_title,"Mohnish Pabrai's Interview at the Capital Compounders Show on February 25, 2025",https://www.youtube.com/watch?v=Eww63NIxKew,20250314_mohnish_pabrais_interview_at_the_capital_compounders_show_on_february_25_2025.pdf,date+kw,8282
3xbhKOzNBW8,2025-03-27,yt_title,"Mohnish Pabrai’s Talk with the My First Million podcast on March 27, 2025",https://www.youtube.com/watch?v=3xbhKOzNBW8,20250507_mohnish_pabrais_talk_at_my_first_million_podcast_on_march_27_2025.pdf,date+kw,17246
ePBZbS0cRAM,2025-04-15,yt_title,"Mohnish Pabrai's Interview at the Investors Podcast on April 15, 2025",https://www.youtube.com/watch?v=ePBZbS0cRAM,20260119_mohnish_pabrais_interview_at_the_investors_podcast_on_april_15_2025_final_v2.pdf,date+kw,8304
YBinkgDRPHo,2025-04-22,yt_title,"Mohnish Pabrai’s Session with Ashoka Investment Club on April 22, 2025",https://www.youtube.com/watch?v=YBinkgDRPHo,20250514_mohnish_pabrais_session_with_ashoka_investment_club_on_april_22_2025_v2.pdf,date+kw,7016
NrTz1uiL3RU,2025-05-02,yt_title,"Mohnish Pabrai's Sessions at UNO on May 2, 2025 and Columbia Business School on March 25, 2025",https://www.youtube.com/watch?v=NrTz1uiL3RU,20250611_mohnish_pabrais_sessions_at_uno_on_may_2_2025_and_CBS_on_march_25_2025_v2.pdf,date+kw,16495
jW-L5NdvYkU,2025-06-10,yt_title,"Mohnish Pabrai’s Session with SumZero on June 10, 2025",https://www.youtube.com/watch?v=jW-L5NdvYkU,20250630_mohnish_pabrais_session_with_sumzero_on_june_10_2025_final.pdf,date+kw,7814
vNBluvpgphs,2025-07-13,yt_title,"Mohnish Pabrai’s Interview session at The Diary of a CEO on July 13, 2025",https://www.youtube.com/watch?v=vNBluvpgphs,20250917_mohnish_pabrais_session_at_the_diary_of_a_ceo_on_july_13_2025_v3.pdf,date+kw,13226
fW9j-mDNVt8,2025-10-14,yt_title,"Mohnish Pabrai’s Fireside chat with Ben Graham Centre on October 14, 2025",https://www.youtube.com/watch?v=fW9j-mDNVt8,20251201_mohnish_pabrais_fireside_chat_with_ben_graham_centre_-_on_oct_14_2025.pdf,date+kw,4564
6QGCPDTZDB8,2026-03-16,yt_title,"Mental Models for Running Startups and Businesses, SXSW 2026 on March 16, 2026",https://www.youtube.com/watch?v=6QGCPDTZDB8,20260417_mental_models_for_running_startups_and_businesses_sxsw_2026_on_march_16_2026_v4.pdf,date+kw,6647
b3gPwuMs9xc,2026-03-23,yt_title,"Mohnish Pabrai's Interview with The Investor’s Podcast on March 23, 2026",https://www.youtube.com/watch?v=b3gPwuMs9xc,20260603_mohnish_pabrais_interview_with_the_investors_podcast_on_march_23_2026_v2.pdf,date+kw,8836
iir-07rEf5o,2026-04-21,yt_title,"Mental Models by Mohnish Pabrai at Heilbrunn Center for Graham and Dodd Investing on April 21, 2026",https://www.youtube.com/watch?v=iir-07rEf5o,20260528_mohnish_pabrais_session_at_heilbrunn_center_on_april_21_2026_v3.pdf,date+kw,8869
Yx1yAhjsDsE,2026-05-01,yt_title,"Mental Models for Exceptional Capital Allocation by Mohnish Pabrai at The UNO on May 1, 2026",https://www.youtube.com/watch?v=Yx1yAhjsDsE,20260525_mohnish_pabrais_session_with_university_of_nebraska_omaha_on_may_1_2026_v3.pdf,date+kw,12201
m8jNKvcXolE,2026-05-05,yt_title,"Mohnish Pabrai's Interview with My First Million on May 5, 2026",https://www.youtube.com/watch?v=m8jNKvcXolE,20260625_mohnish_pabrais_interview_with_shaan_puri_at_my_first_million_on_may_5_2026_v3.pdf,date+kw,15744
NVD-m9seDe4,2026-06-08,yt_title,"Mohnish Pabrai's Interview with Knowledge Inside podcast on June 8, 2026",https://www.youtube.com/watch?v=NVD-m9seDe4,20260626_mohnish_pabrais_interview_with_knowledge_inside_on_june_8_2026.pdf,date+kw,8033
YQq0A1haFo4,2026-07-21,yt_title,"Mohnish Pabrai's Interview with New Money on July 21, 2026",https://www.youtube.com/watch?v=YQq0A1haFo4,"20260819 Mohnish Pabrai's Interview with New Money on July 21, 2026.pdf",date+kw,8024
f4tMPhZAI5E,2026-08-25,yt_title,"Mohnish Pabrai's Session with Copenhagen Business School Investment Club on August 25, 2026",https://www.youtube.com/watch?v=f4tMPhZAI5E,"20260903 Mohnish Pabrai's Session with Copenhagen Business School on August 25, 2026.pdf",date+kw,7692
